1. One redundant step data processing to produce image
2. Try delete scenario name

Epoch 001 | Train: 0.923831 | Val: 0.940001
Epoch 002 | Train: 0.847471 | Val: 0.888501
Epoch 003 | Train: 0.775550 | Val: 0.863658
Epoch 004 | Train: 0.717077 | Val: 0.828238
Epoch 005 | Train: 0.725765 | Val: 0.753086
Backend tkagg is interactive backend. Turning interactive mode on.
Epoch 006 | Train: 0.683398 | Val: 0.627609
Epoch 007 | Train: 0.565004 | Val: 0.543815
Epoch 008 | Train: 0.527861 | Val: 0.472615
Epoch 009 | Train: 0.456877 | Val: 0.460906
Epoch 010 | Train: 0.432057 | Val: 0.408754
Epoch 011 | Train: 0.399151 | Val: 0.502932
Epoch 012 | Train: 0.337160 | Val: 0.291402
Epoch 013 | Train: 0.341389 | Val: 0.360777
Epoch 014 | Train: 0.314895 | Val: 0.284086
Epoch 015 | Train: 0.287921 | Val: 0.288842
Epoch 016 | Train: 0.264436 | Val: 0.238358
Epoch 017 | Train: 0.258879 | Val: 0.272749
Epoch 018 | Train: 0.206239 | Val: 0.211271
Epoch 019 | Train: 0.241120 | Val: 0.220757
Epoch 020 | Train: 0.216375 | Val: 0.199598
Epoch 021 | Train: 0.204716 | Val: 0.193331
Epoch 022 | Train: 0.185105 | Val: 0.189646
Epoch 023 | Train: 0.190168 | Val: 0.237310
Epoch 024 | Train: 0.182001 | Val: 0.211613
Epoch 025 | Train: 0.181684 | Val: 0.241900
Epoch 026 | Train: 0.194238 | Val: 0.167332
Epoch 027 | Train: 0.162525 | Val: 0.156996
Epoch 028 | Train: 0.160712 | Val: 0.239110
Epoch 029 | Train: 0.143558 | Val: 0.148202
Epoch 030 | Train: 0.159908 | Val: 0.188279
Epoch 031 | Train: 0.150005 | Val: 0.177577
Epoch 032 | Train: 0.140354 | Val: 0.126133
Epoch 033 | Train: 0.163036 | Val: 0.254873
Epoch 034 | Train: 0.147335 | Val: 0.122691
Epoch 035 | Train: 0.136104 | Val: 0.163281
Epoch 036 | Train: 0.136749 | Val: 0.150646
Epoch 037 | Train: 0.127273 | Val: 0.152799
Epoch 038 | Train: 0.140064 | Val: 0.129115
Epoch 039 | Train: 0.149308 | Val: 0.123338
Epoch 040 | Train: 0.123781 | Val: 0.150092
Epoch 041 | Train: 0.116250 | Val: 0.117834
Epoch 042 | Train: 0.112403 | Val: 0.201671
Epoch 043 | Train: 0.123235 | Val: 0.122022
Epoch 044 | Train: 0.128732 | Val: 0.157974
Epoch 045 | Train: 0.120976 | Val: 0.149837
Epoch 046 | Train: 0.120787 | Val: 0.110093
Epoch 047 | Train: 0.117070 | Val: 0.161104
Epoch 048 | Train: 0.118563 | Val: 0.153069
Epoch 049 | Train: 0.118033 | Val: 0.105958
Epoch 050 | Train: 0.106709 | Val: 0.112257
Epoch 051 | Train: 0.111631 | Val: 0.226217
Epoch 052 | Train: 0.113225 | Val: 0.088987
Epoch 053 | Train: 0.108555 | Val: 0.132475
Epoch 054 | Train: 0.119400 | Val: 0.171204
Epoch 055 | Train: 0.108794 | Val: 0.094820
Epoch 056 | Train: 0.094789 | Val: 0.141873
Epoch 057 | Train: 0.097814 | Val: 0.101444
Epoch 058 | Train: 0.093336 | Val: 0.135311
Epoch 059 | Train: 0.095106 | Val: 0.164205
Epoch 060 | Train: 0.094079 | Val: 0.101940
Epoch 061 | Train: 0.081941 | Val: 0.112393
Epoch 062 | Train: 0.100889 | Val: 0.093767
Epoch 063 | Train: 0.100577 | Val: 0.126154
Epoch 064 | Train: 0.091693 | Val: 0.134121
Epoch 065 | Train: 0.100249 | Val: 0.090302
Epoch 066 | Train: 0.086845 | Val: 0.100705
Epoch 067 | Train: 0.086066 | Val: 0.067838
Epoch 068 | Train: 0.086392 | Val: 0.117140
Epoch 069 | Train: 0.078828 | Val: 0.074692
Epoch 070 | Train: 0.097260 | Val: 0.083106
Epoch 071 | Train: 0.085785 | Val: 0.085000
Epoch 072 | Train: 0.079505 | Val: 0.095594
Epoch 073 | Train: 0.083894 | Val: 0.090484
Epoch 074 | Train: 0.091287 | Val: 0.112046
Epoch 075 | Train: 0.081347 | Val: 0.108900
Epoch 076 | Train: 0.081294 | Val: 0.096776
Epoch 077 | Train: 0.082842 | Val: 0.087374
Epoch 078 | Train: 0.078159 | Val: 0.087774
Epoch 079 | Train: 0.081496 | Val: 0.172012
Epoch 080 | Train: 0.083452 | Val: 0.090279
Epoch 081 | Train: 0.090478 | Val: 0.083862
Epoch 082 | Train: 0.086185 | Val: 0.095138
Epoch 083 | Train: 0.079705 | Val: 0.067094
Epoch 084 | Train: 0.087522 | Val: 0.123338
Epoch 085 | Train: 0.092246 | Val: 0.093400
Epoch 086 | Train: 0.083188 | Val: 0.117118
Epoch 087 | Train: 0.080081 | Val: 0.156839
Epoch 088 | Train: 0.076383 | Val: 0.064861
Epoch 089 | Train: 0.074394 | Val: 0.077328
Epoch 090 | Train: 0.079743 | Val: 0.083228
Epoch 091 | Train: 0.089239 | Val: 0.157378
Epoch 092 | Train: 0.070755 | Val: 0.093101
Epoch 093 | Train: 0.070341 | Val: 0.075268
Epoch 094 | Train: 0.068294 | Val: 0.101475
Epoch 095 | Train: 0.078328 | Val: 0.104314
Epoch 096 | Train: 0.078432 | Val: 0.112706
Epoch 097 | Train: 0.063972 | Val: 0.096169
Epoch 098 | Train: 0.078623 | Val: 0.107860
Epoch 099 | Train: 0.069794 | Val: 0.087926
Epoch 100 | Train: 0.065507 | Val: 0.086952
\
