scenario,mse_pred,mse_xhat
ene505i1,152.00693,8.99893
ene505i1,152.00693,13.648385
ene505i1,152.00693,12.660676
ene505i1,152.00693,7.327619
ene505i1,152.00693,9.473495
ene505i2,204.222,21.43853
ene505i2,204.222,10.756912
ene505i2,204.222,21.255686
ene505i2,204.222,16.917538
ene505i2,204.222,13.722222
ene510i1,133.86331,10.584241
ene510i1,133.86331,5.8714914
ene510i1,133.86331,12.502973
ene510i1,133.86331,10.306317
ene510i1,133.86331,7.969577
ene510i2,186.0717,10.002971
ene510i2,186.0717,8.885197
ene510i2,186.0717,10.710718
ene510i2,186.0717,9.126664
ene510i2,186.0717,16.238941
ene515i1,108.53464,1.6855998
ene515i1,108.53464,3.9257052
ene515i1,108.53464,8.383619
ene515i1,108.53464,1.3489534
ene515i1,108.53464,3.5531197
ene515i2,166.65662,10.17988
ene515i2,166.65662,10.332411
ene515i2,166.65662,12.640652
ene515i2,166.65662,9.465412
ene515i2,166.65662,8.5355
n505i1,137.38495,2.6870606
n505i1,137.38495,1.2420331
n505i1,137.38495,1.1234834
n505i1,137.38495,1.745628
n505i1,137.38495,4.773829
n505i2,191.78006,4.9319797
n505i2,191.78006,5.069415
n505i2,191.78006,6.422741
n505i2,191.78006,2.869253
n505i2,191.78006,3.144796
n510i1,156.59244,3.4324555
n510i1,156.59244,1.7394048
n510i1,156.59244,1.9548303
n510i1,156.59244,1.0799057
n510i1,156.59244,2.489344
n510i2,218.3629,1.8873472
n510i2,218.3629,6.1708727
n510i2,218.3629,2.2255607
n510i2,218.3629,2.7450657
n510i2,218.3629,5.172168
n515i1,173.59949,2.7866673
n515i1,173.59949,5.0263524
n515i1,173.59949,2.1388342
n515i1,173.59949,4.1326804
n515i1,173.59949,3.4983912
n515i2,243.45319,4.862355
n515i2,243.45319,5.6292434
n515i2,243.45319,4.764012
n515i2,243.45319,4.4214153
n515i2,243.45319,3.3016539
ne505i1,105.65829,3.0277605
ne505i1,105.65829,1.7386976
ne505i1,105.65829,1.8991095
ne505i1,105.65829,2.2419713
ne505i1,105.65829,1.7467927
ne505i2,150.49149,3.688109
ne505i2,150.49149,1.2132958
ne505i2,150.49149,1.5623337
ne505i2,150.49149,2.6582475
ne505i2,150.49149,2.599933
ne510i1,93.742195,4.293145
ne510i1,93.742195,12.074787
ne510i1,93.742195,3.0616956
ne510i1,93.742195,2.3916075
ne510i1,93.742195,4.865729
ne510i2,142.40297,4.0596757
ne510i2,142.40297,4.547693
ne510i2,142.40297,4.67853
ne510i2,142.40297,3.8101516
ne510i2,142.40297,6.5160065
ne515i1,81.460106,14.120727
