scenario,mse_pred,mse_xhat
ene505i1,45.51622,6.365641
ene505i1,45.51622,6.0698924
ene505i1,45.51622,3.6981473
ene505i1,45.51622,6.0138626
ene505i1,45.51622,6.028604
ene505i2,56.019497,8.562978
ene505i2,56.019497,10.69508
ene505i2,56.019497,10.308391
ene505i2,56.019497,9.310613
ene505i2,56.019497,9.450955
ene510i1,36.834633,7.717444
ene510i1,36.834633,9.267907
ene510i1,36.834633,5.9015474
ene510i1,36.834633,5.799611
ene510i1,36.834633,3.683534
ene510i2,47.806606,6.1241107
ene510i2,47.806606,7.8039207
ene510i2,47.806606,7.9630585
ene510i2,47.806606,9.044155
ene510i2,47.806606,8.745854
ene515i1,27.75615,6.3305
ene515i1,27.75615,6.29373
ene515i1,27.75615,7.205024
ene515i1,27.75615,3.4605389
ene515i1,27.75615,5.1026187
ene515i2,40.852802,12.98439
ene515i2,40.852802,11.192258
ene515i2,40.852802,7.452482
ene515i2,40.852802,6.6997995
ene515i2,40.852802,11.819924
n505i1,32.552135,3.3826878
n505i1,32.552135,1.3953817
n505i1,32.552135,1.4565948
n505i1,32.552135,0.7864022
n505i1,32.552135,1.1215242
n505i2,43.79593,4.012006
n505i2,43.79593,3.185574
n505i2,43.79593,2.6927116
n505i2,43.79593,2.698271
n505i2,43.79593,2.6837752
n510i1,36.710712,3.2372644
n510i1,36.710712,4.082852
n510i1,36.710712,4.456915
n510i1,36.710712,5.192217
n510i1,36.710712,3.1599836
n510i2,49.263794,4.608728
n510i2,49.263794,6.114191
n510i2,49.263794,5.642124
n510i2,49.263794,5.464329
n510i2,49.263794,6.612419
n515i1,40.755314,6.4691625
n515i1,40.755314,4.686465
n515i1,40.755314,4.5872893
n515i1,40.755314,5.040195
n515i1,40.755314,5.7418447
n515i2,54.105682,3.132337
n515i2,54.105682,7.435931
n515i2,54.105682,10.758359
n515i2,54.105682,6.910652
n515i2,54.105682,3.4894185
ne505i1,25.527588,2.3109076
ne505i1,25.527588,3.1966028
ne505i1,25.527588,2.694735
ne505i1,25.527588,2.3949118
ne505i1,25.527588,3.1849058
ne505i2,35.189976,2.9626784
ne505i2,35.189976,2.4243555
ne505i2,35.189976,2.2667654
ne505i2,35.189976,2.0802572
ne505i2,35.189976,4.743434
ne510i1,23.008228,3.861753
ne510i1,23.008228,2.6762793
ne510i1,23.008228,3.1001275
ne510i1,23.008228,2.830407
ne510i1,23.008228,3.6650412
ne510i2,33.36367,3.4162996
ne510i2,33.36367,3.4560935
ne510i2,33.36367,3.0590699
ne510i2,33.36367,2.739551
ne510i2,33.36367,2.7359228
ne515i1,21.74581,3.1430907
ne515i1,21.74581,6.790255
ne515i1,21.74581,7.2137
ne515i1,21.74581,1.8148849
ne515i1,21.74581,9.240957
ne515i2,31.497456,4.9498215
ne515i2,31.497456,6.3099117
ne515i2,31.497456,4.7812
ne515i2,31.497456,6.2679224
ne515i2,31.497456,2.819273
nne505i1,29.455503,1.9214276
nne505i1,29.455503,2.9955635
nne505i1,29.455503,1.6197282
nne505i1,29.455503,2.2949605
nne505i1,29.455503,2.5139408
nne505i2,39.96719,5.0843124
nne505i2,39.96719,4.0226536
nne505i2,39.96719,4.6287165
nne505i2,39.96719,2.5383193
nne505i2,39.96719,3.278316
nne510i1,27.835241,1.6923122
nne510i1,27.835241,2.023364
nne510i1,27.835241,3.228358
nne510i1,27.835241,3.7658353
nne510i1,27.835241,2.3694077
nne510i2,38.821213,2.7379534
nne510i2,38.821213,2.1850593
nne510i2,38.821213,4.279642
nne510i2,38.821213,3.7303393
nne510i2,38.821213,3.8029356
nne515i1,27.706232,2.039019
nne515i1,27.706232,1.6376922
nne515i1,27.706232,1.6788335
nne515i1,27.706232,2.1413567
nne515i1,27.706232,1.728512
nne515i2,38.20218,2.4068
nne515i2,38.20218,2.998751
nne515i2,38.20218,2.9511993
nne515i2,38.20218,6.484443
nne515i2,38.20218,3.8246248
nnw505i1,36.265125,2.1332204
nnw505i1,36.265125,2.994934
nnw505i1,36.265125,2.5455399
nnw505i1,36.265125,2.9401634
nnw505i1,36.265125,2.9964216
nnw505i2,48.274853,2.967865
nnw505i2,48.274853,3.3198755
nnw505i2,48.274853,3.2693207
nnw505i2,48.274853,3.6081994
nnw505i2,48.274853,4.1288137
nnw510i1,49.715935,11.648656
nnw510i1,49.715935,9.072732
nnw510i1,49.715935,7.8397274
nnw510i1,49.715935,10.107291
nnw510i1,49.715935,13.119389
nnw510i2,65.61123,7.3647556
nnw510i2,65.61123,10.354284
nnw510i2,65.61123,15.575211
nnw510i2,65.61123,15.758251
nnw510i2,65.61123,13.385857
nnw515i1,60.719055,22.269098
nnw515i1,60.719055,25.917763
nnw515i1,60.719055,17.903662
nnw515i1,60.719055,25.459747
nnw515i1,60.719055,16.185514
nnw515i2,82.466515,29.452206
nnw515i2,82.466515,31.057442
nnw515i2,82.466515,30.78686
nnw515i2,82.466515,28.113037
nnw515i2,82.466515,27.186409
nw505i1,39.122894,2.0790932
nw505i1,39.122894,5.078023
nw505i1,39.122894,1.3153464
nw505i1,39.122894,3.8657258
nw505i1,39.122894,2.6727076
nw505i2,52.018265,3.337007
nw505i2,52.018265,3.4656188
nw505i2,52.018265,4.0177903
