scenario,mse_pred,mse_xhat
ene505i1,61.702755,5.719836
ene505i1,61.702755,8.701356
ene505i1,61.702755,4.0948944
ene505i1,61.702755,6.684129
ene505i1,61.702755,5.0212407
ene505i2,101.47969,14.803192
ene505i2,101.47969,12.310403
ene505i2,101.47969,16.898272
ene505i2,101.47969,13.555741
ene505i2,101.47969,13.08671
ene510i1,55.11977,1.3106468
ene510i1,55.11977,1.8681461
ene510i1,55.11977,9.128159
ene510i1,55.11977,7.248693
ene510i1,55.11977,1.401345
ene510i2,107.90871,7.2680135
ene510i2,107.90871,5.2115607
ene510i2,107.90871,7.0995064
ene510i2,107.90871,5.5953665
ene510i2,107.90871,7.615217
ene515i1,49.948685,2.1023738
ene515i1,49.948685,3.4075904
ene515i1,49.948685,2.5906737
ene515i1,49.948685,2.7579496
ene515i1,49.948685,3.7691717
ene515i2,119.87543,6.123514
ene515i2,119.87543,4.089363
ene515i2,119.87543,4.6006665
ene515i2,119.87543,4.74857
ene515i2,119.87543,4.372634
n505i1,82.39843,1.756965
n505i1,82.39843,1.7843916
n505i1,82.39843,1.5428346
n505i1,82.39843,1.6691778
n505i1,82.39843,2.9569628
n505i2,233.09164,20.714647
n505i2,233.09164,18.079847
n505i2,233.09164,21.452875
n505i2,233.09164,19.50162
n505i2,233.09164,18.356424
n510i1,93.2088,11.406198
n510i1,93.2088,10.675476
n510i1,93.2088,10.108246
n510i1,93.2088,8.942285
n510i1,93.2088,6.570236
n510i2,265.2792,32.300636
n510i2,265.2792,29.481192
n510i2,265.2792,32.345116
n510i2,265.2792,32.11376
n510i2,265.2792,34.626682
n515i1,108.17549,16.905317
n515i1,108.17549,14.171477
n515i1,108.17549,13.399819
n515i1,108.17549,16.052633
n515i1,108.17549,17.258966
n515i2,308.58926,41.454582
n515i2,308.58926,43.17576
n515i2,308.58926,42.837727
n515i2,308.58926,41.743214
n515i2,308.58926,41.531948
ne505i1,49.02367,1.468433
ne505i1,49.02367,3.3651035
ne505i1,49.02367,1.6366367
ne505i1,49.02367,1.1397887
ne505i1,49.02367,1.7372507
ne505i2,123.5595,4.0975695
ne505i2,123.5595,3.2009583
ne505i2,123.5595,4.5833244
ne505i2,123.5595,3.68379
ne505i2,123.5595,4.0349984
ne510i1,52.75893,3.4908612
ne510i1,52.75893,3.8658795
ne510i1,52.75893,6.4040422
ne510i1,52.75893,11.224222
ne510i1,52.75893,12.714506
